method;N;M;threads;chunkSize;Executing time;
WithoutOmp;10;10;1;not defined;0.0781741;
WithoutOmp;20;20;1;not defined;0.467122;
WithoutOmp;30;30;1;not defined;1.36918;
WithoutOmp;40;40;1;not defined;2.23667;
WithoutOmp;50;50;1;not defined;3.52997;
WithoutOmp;60;60;1;not defined;4.85326;
WithoutOmp;70;70;1;not defined;6.12495;
WithoutOmp;80;80;1;not defined;7.3078;
WithoutOmp;90;90;1;not defined;9.76339;
WithoutOmp;100;100;1;not defined;13.6491;
WithoutOmp;110;110;1;not defined;16.2589;
WithoutOmp;120;120;1;not defined;20.2421;
WithoutOmp;130;130;1;not defined;26.2196;
WithoutOmp;140;140;1;not defined;33.1183;
WithoutOmp;150;150;1;not defined;41.6701;
WithoutOmp;160;160;1;not defined;52.3316;
WithoutOmp;170;170;1;not defined;65.0463;
WithoutOmp;180;180;1;not defined;80.3722;
WithoutOmp;190;190;1;not defined;98.5598;
WithoutOmp;200;200;1;not defined;120.299;
WithoutOmp;210;210;1;not defined;145.441;
WithoutOmp;220;220;1;not defined;174.576;
WithoutOmp;230;230;1;not defined;209.689;
WithoutOmp;240;240;1;not defined;249.015;
WithoutOmp;250;250;1;not defined;294.898;
WithoutOmp;260;260;1;not defined;346.261;
WithoutOmp;270;270;1;not defined;406;
WithoutOmp;280;280;1;not defined;475.344;
WithoutOmp;290;290;1;not defined;555.715;
WithoutOmp;300;300;1;not defined;641.226;
WithoutOmp;310;310;1;not defined;742.041;
WithoutOmp;320;320;1;not defined;852.838;
WithoutOmp;330;330;1;not defined;978.009;
WithoutOmp;340;340;1;not defined;1118.13;
WithoutOmp;350;350;1;not defined;1273.4;
WithoutOmp;360;360;1;not defined;1448.16;
WithoutOmp;370;370;1;not defined;1645.4;
WithoutOmp;380;380;1;not defined;1859.95;
WithoutOmp;390;390;1;not defined;2101.68;
WithoutOmp;400;400;1;not defined;2365.73;
WithoutOmp;410;410;1;not defined;2656.52;
WithoutOmp;420;420;1;not defined;2976.08;
WithoutOmp;430;430;1;not defined;3327.83;
WithoutOmp;440;440;1;not defined;3713.81;
WithoutOmp;450;450;1;not defined;4129.75;
WithoutOmp;460;460;1;not defined;4579.42;
WithoutOmp;470;470;1;not defined;5079.48;
WithoutOmp;480;480;1;not defined;5615.35;
WithoutOmp;490;490;1;not defined;6203.81;
WithoutOmp;500;500;1;not defined;6829.84;
